店铺ID,店铺名,托管模式,店铺LOGO,在售商品数,店铺总销量,店铺评分,粉丝数,商品ID,商品标题（中文）,商品标题（英文）,商品主图,商品轮播图,商品视频,商品链接,前台分类（英文）,前台分类（中文）,后台分类,标签,美元价格($),欧元价格(€),GMV($),GMV(€),总销量,日销量,周销量,月销量,美区评分,美区评论数,上架时间,收录时间,main_url,标题,banned,banned_hits
634418211207855.0,RY Crafts,全托,https://img-2.kwcdn.com/supplier-public-tag/1eed512140/c84ed6f5-36a5-4e23-bae3-034d1b54ed3d_300x300.jpeg,122.0,208496.0,4.8,11743.0,601099523255495,1件天然水晶宝石工艺品，鬼像，万圣节装饰装饰品，帽子鬼雕男孩的女孩礼物,1件天然水晶宝石工艺品，鬼像，万圣节装饰装饰品，帽子鬼雕男孩的女孩礼物,https://img.kwcdn.com/product/open/2023-08-11/1691747821525-d31525578dd64fb0bf29c70481977108-goods.jpeg,[https://img.kwcdn.com/product/open/2023-08-11/1691747821525-d31525578dd64fb0bf29c70481977108-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601099523255495&search_method=user,Home & Kitchen/Home Decor Products,家居厨房用品/家居装饰,,"[仅剩5件, 历史最低价]",3.19,2.74,,,41,,,,,0,2026-09-12 14:58:13,,https://img.kwcdn.com/product/open/2023-08-11/1691747821525-d31525578dd64fb0bf29c70481977108-goods.jpeg,1件天然水晶宝石工艺品，鬼像，万圣节装饰装饰品，帽子鬼雕男孩的女孩礼物,False,
634418211098560.0,MEJOO,全托,https://img-2.kwcdn.com/supplier-public-tag/1e78ea468f/073d9ac8-9f1b-4100-a035-8a719797322e_300x300.png,100.0,150000.0,4.8,10355.0,601099527267290,,30Cm Nutcracker Wooden Handicraft Blue Doll Puppet Creative Child Festival Easter Soldier Ornament Decorations Christmas Gift,https://img.kwcdn.com/product/fancy/e515b9a1-ade5-4beb-9d11-b9afcda6f013.jpg,[https://img.kwcdn.com/product/fancy/e515b9a1-ade5-4beb-9d11-b9afcda6f013.jpg],,https://www.temu.com/search_result.html?search_key=601099527267290&search_method=user,Home & Kitchen/Home Decor Products,家居厨房用品/家居装饰,,[ONLY 4 LEFT],25.39,21.82,,,195,,,,,0,2026-09-12 13:39:12,,https://img.kwcdn.com/product/fancy/e515b9a1-ade5-4beb-9d11-b9afcda6f013.jpg,30Cm Nutcracker Wooden Handicraft Blue Doll Puppet Creative Child Festival Easter Soldier Ornament Decorations Christmas Gift,False,
634418212427359.0,S J loves life,全托,https://img-2.kwcdn.com/supplier-public-tag/20ef5f2010/ea79d70a-a843-4667-9c46-3774d8e78626_300x300.jpeg,29.0,58000.0,4.8,2918.0,601099539175725,1pc悬挂眼镜收纳盒，防尘毛绒收纳袋，带有16个插槽，节省空间的眼镜架，家庭和办公室配件展示，其他（珠宝盒和收纳盒）,1pc悬挂眼镜收纳盒，防尘毛绒收纳袋，带有16个插槽，节省空间的眼镜架，家庭和办公室配件展示，其他（珠宝盒和收纳盒）,https://img.kwcdn.com/product/fancy/081c965b-04f8-49e7-abd2-0ec1598d5123.jpg,[https://img.kwcdn.com/product/fancy/081c965b-04f8-49e7-abd2-0ec1598d5123.jpg],,https://www.temu.com/search_result.html?search_key=601099539175725&search_method=user,Home & Kitchen/Home Storage & Organization,家居厨房用品/家庭收纳,,[],5.43,4.67,,,0,,,,,0,2026-09-12 09:21:34,,https://img.kwcdn.com/product/fancy/081c965b-04f8-49e7-abd2-0ec1598d5123.jpg,1pc悬挂眼镜收纳盒，防尘毛绒收纳袋，带有16个插槽，节省空间的眼镜架，家庭和办公室配件展示，其他（珠宝盒和收纳盒）,False,
634418211749226.0,AhDmQy,全托,https://img-2.kwcdn.com/supplier-public-tag/1eac59e3be/3f3c9a60-0798-41d0-bcbf-eac101cc4a4b_300x300.png,76.0,31000.0,4.8,814.0,601099542847114,可爱猫狗被套，一排猫狗卡通寝具三件套，适合男孩女孩卧室寝具,可爱猫狗被套，一排猫狗卡通寝具三件套，适合男孩女孩卧室寝具,https://img.kwcdn.com/product/fancy/04767633-5440-4f0c-b254-dff9990ab86f.jpg,[https://img.kwcdn.com/product/fancy/04767633-5440-4f0c-b254-dff9990ab86f.jpg],,https://www.temu.com/search_result.html?search_key=601099542847114&search_method=user,Home & Kitchen/Bedding,家居厨房用品/床上用品,,[],19.49,16.75,,,7,,,,,0,2026-09-12 15:36:22,,https://img.kwcdn.com/product/fancy/04767633-5440-4f0c-b254-dff9990ab86f.jpg,可爱猫狗被套，一排猫狗卡通寝具三件套，适合男孩女孩卧室寝具,False,
634418210749951.0,Mydearhome,全托,https://img-2.kwcdn.com/supplier-public-tag/1e78ea13ef/f3517a9b-a36d-45e0-8277-4071dd3572f9_300x300.jpeg,690.0,420000.0,4.9,959.0,601099604040233,法国斗牛犬相框图案法兰绒羊毛毯，四季舒适涤纶沙发午睡配件,法国斗牛犬相框图案法兰绒羊毛毯，四季舒适涤纶沙发午睡配件,https://img.kwcdn.com/product/open/2024-07-02/1719898093487-734fa3fe53b243648c7a152011e3ad6a-goods.jpeg,[https://img.kwcdn.com/product/open/2024-07-02/1719898093487-734fa3fe53b243648c7a152011e3ad6a-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601099604040233&search_method=user,Home & Kitchen/Blankets & Throws,家居厨房用品/毯子,,[广告],9.96,8.56,,,34,,,,5.0,2,2026-09-12 15:57:18,,https://img.kwcdn.com/product/open/2024-07-02/1719898093487-734fa3fe53b243648c7a152011e3ad6a-goods.jpeg,法国斗牛犬相框图案法兰绒羊毛毯，四季舒适涤纶沙发午睡配件,False,
634418214322720.0,ShanMeiHua,全托,https://img-2.kwcdn.com/supplier-public-tag/1f19f105588/b432cf12-f0ac-40b9-8d86-5abb4d4a3376_300x300.jpeg,44.0,117954.0,4.7,10815.0,601099611734110,,Professional 8.5-Inch Stainless Steel Kitchen Scissors with Aluminum Alloy Handle: Ideal for Cutting Chicken Bones And More.,https://img.kwcdn.com/product/open/2024-07-13/1720838374262-fe73ea1fab324808847c967a32b5e600-goods.jpeg,[https://img.kwcdn.com/product/open/2024-07-13/1720838374262-fe73ea1fab324808847c967a32b5e600-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601099611734110&search_method=user,Home & Kitchen/Kitchen Utensils & Supplies,家居厨房用品/厨房用品,,[],4.18,3.59,,,14,,,,,0,2026-09-12 17:08:12,,https://img.kwcdn.com/product/open/2024-07-13/1720838374262-fe73ea1fab324808847c967a32b5e600-goods.jpeg,Professional 8.5-Inch Stainless Steel Kitchen Scissors with Aluminum Alloy Handle: Ideal for Cutting Chicken Bones And More.,False,
634418214139134.0,Wonderful Time Shop,全托,https://img-2.kwcdn.com/supplier-public-tag/1f13e187440/8f44b829-252d-4cd5-9794-f5594138c61d_300x300.jpeg,36.0,100000.0,4.9,2103.0,601099616938939,25/30片圣诞老人和雪人造型棒棒糖装饰卡片，彩色可爱糖果小礼物 - 适用于派对、生日、圣诞节、新年、冬季等，最适合圣诞节,25/30片圣诞老人和雪人造型棒棒糖装饰卡片，彩色可爱糖果小礼物 - 适用于派对、生日、圣诞节、新年、冬季等，最适合圣诞节,https://img.kwcdn.com/product/fancy/65286c93-94cd-448b-951e-2718daf6bc21.jpg,[https://img.kwcdn.com/product/fancy/65286c93-94cd-448b-951e-2718daf6bc21.jpg],,https://www.temu.com/search_result.html?search_key=601099616938939&search_method=user,Home & Kitchen/Event & Party Supplies,家居厨房用品/节日聚会用品,,[],2.12,1.82,,,29,,,,,0,2026-09-12 12:47:33,,https://img.kwcdn.com/product/fancy/65286c93-94cd-448b-951e-2718daf6bc21.jpg,25/30片圣诞老人和雪人造型棒棒糖装饰卡片，彩色可爱糖果小礼物 - 适用于派对、生日、圣诞节、新年、冬季等，最适合圣诞节,False,
634418217021069.0,,全托,,49.0,343.0,,,601099638125166,,"Personalized Black Panther Superhero Plush Throw Blanket - Customizable Name, Soft Polyester Fabric for Couch, Sofa, Bed - Unique Christmas Halloween Gift Idea",https://img.kwcdn.com/product/open/2024-08-14/1723599773363-5236aa35822545a2b84b52bee51a173c-goods.jpeg,[https://img.kwcdn.com/product/open/2024-08-14/1723599773363-5236aa35822545a2b84b52bee51a173c-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601099638125166&search_method=user,Home & Kitchen/Blankets & Throws,家居厨房用品/毯子,,[],31.33,26.93,,,73,,,,,0,2026-09-12 17:05:30,,https://img.kwcdn.com/product/open/2024-08-14/1723599773363-5236aa35822545a2b84b52bee51a173c-goods.jpeg,"Personalized Black Panther Superhero Plush Throw Blanket - Customizable Name, Soft Polyester Fabric for Couch, Sofa, Bed - Unique Christmas Halloween Gift Idea",False,
634418216219171.0,Romantic Moonlight,全托,https://img-2.kwcdn.com/supplier-public-tag/1f23584c20/53400fe3-2725-41a4-9fa2-c0fba61664e0_1300x947.jpeg,6200.0,23529.0,4.9,1764.0,601099678049878,可定制的雪人印花法兰绒毛毯 - 1件聚酯法兰绒毛毯，适用于沙发、床、旅行、露营 - 个性化姓名/文本，无需电力，轻便、柔软且温暖,可定制的雪人印花法兰绒毛毯 - 1件聚酯法兰绒毛毯，适用于沙发、床、旅行、露营 - 个性化姓名/文本，无需电力，轻便、柔软且温暖,https://img.kwcdn.com/product/open/2024-09-20/1726814687684-68660a147b784fe0bdfc1f2b98b014bf-goods.jpeg,[https://img.kwcdn.com/product/open/2024-09-20/1726814687684-68660a147b784fe0bdfc1f2b98b014bf-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601099678049878&search_method=user,Home & Kitchen/Blankets & Throws,家居厨房用品/毯子,,[广告],7.7,6.62,,,11,,,,5.0,1,2026-09-12 16:10:47,,https://img.kwcdn.com/product/open/2024-09-20/1726814687684-68660a147b784fe0bdfc1f2b98b014bf-goods.jpeg,可定制的雪人印花法兰绒毛毯 - 1件聚酯法兰绒毛毯，适用于沙发、床、旅行、露营 - 个性化姓名/文本，无需电力，轻便、柔软且温暖,False,
634418214810138.0,Tabletop Treasures,全托,https://img-2.kwcdn.com/supplier-public-tag/1f13e189740/1521c230-a2c4-480a-b369-776a86e59f98_1024x1024.jpeg,207.0,20039.0,4.9,844.0,601099701332033,,"Merry Christmas Snowflake Tablecloth - 152.4cm Round Polyester, Perfect for Holiday Parties & Decorations, Christmas Decor",https://img.kwcdn.com/product/fancy/bc8e5dd4-e8e5-4af1-8f97-1a76a6278b74.jpg,"https://img.kwcdn.com/product/fancy/f864bfea-8ae0-4e4e-95b2-e4dc00741a50.jpg,https://img.kwcdn.com/product/fancy/f864bfea-8ae0-4e4e-95b2-e4dc00741a50.jpg,https://img.kwcdn.com/product/fancy/6e415cac-92bc-47c6-9309-4bf73fa80130.jpg,https://img.kwcdn.com/product/fancy/bc8e5dd4-e8e5-4af1-8f97-1a76a6278b74.jpg,https://img.kwcdn.com/product/fancy/ab2887e4-99db-4a20-a692-3de5dd9a349a.jpg,https://img.kwcdn.com/product/fancy/4f678244-2b7b-4444-bb94-bc3f691ae693.jpg,https://img.kwcdn.com/product/fancy/391426a1-cb2d-4c44-a9fd-f9f3c39ee53f.jpg,https://img.kwcdn.com/product/fancy/ab2887e4-99db-4a20-a692-3de5dd9a349a.jpg,https://img.kwcdn.com/product/fancy/cef02698-18f3-463a-ae97-53e6c98743a4.jpg,https://img.kwcdn.com/product/fancy/cef02698-18f3-463a-ae97-53e6c98743a4.jpg,https://img.kwcdn.com/product/fancy/4f678244-2b7b-4444-bb94-bc3f691ae693.jpg,https://img.kwcdn.com/product/fancy/54088488-b701-4a84-b74a-fe08f8071202.jpg,https://img.kwcdn.com/product/fancy/218c8982-8544-4437-960a-5d5ff9a87e80.jpg",,https://www.temu.com/search_result.html?search_key=601099701332033&search_method=user,Home & Kitchen/Event & Party Supplies,家居厨房用品/节日聚会用品,家居、厨房用品/活动和派对用品/派对装饰/派对桌布,[],10.98,9.44,,,470,,,,,0,2026-09-12 14:34:08,,https://img.kwcdn.com/product/fancy/bc8e5dd4-e8e5-4af1-8f97-1a76a6278b74.jpg,"Merry Christmas Snowflake Tablecloth - 152.4cm Round Polyester, Perfect for Holiday Parties & Decorations, Christmas Decor",False,
