排名,预测分,商品ID,标题,美元价格($),cat_l1,cat_l2,main_url,总销量
1,1.523011190740242,607647793256497,2张万圣节窗户贴纸，恐怖骷髅头窗户贴纸，静电贴纸,3.36,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/3a29041954d4466cb5935a8b29b37beb-goods.jpeg,7
2,1.5081114372827924,606955900911521,一体式四季通用绗缝被，柔软蓬松透气床上用品，温暖舒适轻盈床罩，奢华酒店风，可机洗，适用于卧室、客房、宿舍，全年皆宜,17.82,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/f4b1f109-a3ac-4a36-875e-036056d3b9b6.jpg,23
3,1.426923861459919,607622291931980,"3Pcs 白色公主风女生房间床品，精致花朵刺绣蕾丝边装饰被套套装，120G柔软舒适透气面料，包含1个羽绒被套+2只枕套，不含被芯 枕芯，Single Double Queen King Super King size, 四季可用 可机洗",26.03,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/b277dabe-5b7a-4b5d-b63c-05680bcc0a54.jpg,88
4,1.4209653382395635,607414589986498,2D平面，1件无框帆布海报 极简情侣油画 中性牛仔女孩人偶帆布大米色纹理墙 आर्ट，帆布油画墙 आर्ट海报卷轴图片印刷客厅墙面装饰家居海报,8.45,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/d38e4f7a73414d7596349c3fd8b42679-goods.jpeg,5
5,1.39892175646863,607011735485707,最新升级款一件多功能人体工学抬高垫 透气不闷趴睡枕 床上趴着玩手机看书靠枕 臀部腰部承托 情侣居家多用途舒适垫,21.22,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/1642a4826a5b435f976c70c43139816a-goods.jpeg,0
6,1.3642055588180424,607613701992283,102pcs 橙色 沙白 浅蓝 孔雀蓝 浅粉 乳胶气球 5in 10in 适用于新年 节日背景 生日 迎婴派对 婚礼 情人节 父亲节 母亲节 感恩节 万圣节 圣诞节 复活节 狂欢节 毕业季 开学典礼 主题派对 照片道具 聚会 场地布置 DIY 装饰 送礼会 舞会 夏日派对 周年纪念日 嘉年华,4.01,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/6639b2da421847c3864d9eeafff36e5e-goods.jpeg,1
7,1.3479046951318594,607293257179596,1pc 鱼骨纹暗纹提花全包沙发套 四季通用高弹性沙发套 宠物友好型 耐磨防滑 可机洗沙发套 1/2/3/4人位 适用于旧沙发翻新 家庭客厅、卧室办公室等场景 复活节圣诞节居家好物,23.12,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/46ffc887-b28a-412f-9eec-00087ebe58b3.jpg,3
8,1.337315794971225,607070992616482,1pc 井格纹肌理全包沙发套 高弹力耐磨防滑沙发罩 一体式懒人沙发防尘保护套 宠物友好 四季通用 旧沙发翻新 适用于客厅卧室办公室酒店等场景 万圣节 圣诞节家居优选好物（不包含抱枕套）,16.44,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/cae70547-48ea-4dda-bed1-ba6c94a6857f.jpg,1
9,1.3332818324437794,607369694145310,弹力泡泡裙边一体全包椅子套罩防滑四季通用结实耐用 四季通用客厅家用酒店全包套/四个装,26.56,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/ee8a9d8b-4f16-4f68-99b0-c41ef92d29a7.jpg,2
10,1.3216266950799196,607033881417362,秋冬新款加厚提花菱格款绒床笠，加厚设计多种颜色/尺寸可选，保暖柔软。,15.43,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/b3794498-6abf-4d3b-bdd9-cb0a8f5c71fe.jpg,18
