排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,source,真实总销量
1,1.9238337309012028,606309927719067,"1pc, Watercolor Palm Trees Large Capacity Foldable Shopping Bag Reusable, Suitable for Storage, It Is The Perfect Choice for Essential Items in The School Season",4.54,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/bc971311-bd4f-4ec7-bd4b-b108c35aea0a_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606309927719067&search_method=user,911.csv,1
2,1.5862113377434215,605788089211733,"1pc,Rose Heart Patchwork Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",3.91,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a639a4/40e76ed5-6ba6-47f7-9839-65c9dbf83184_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605788089211733&search_method=user,911.csv,6
3,1.4645904594418446,606584805655112,"1pc,Vintage Floral Art Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",4.32,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/20b804b4-4a84-4b95-9d1d-bf933b792255_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606584805655112&search_method=user,911.csv,5
4,1.4249039301321695,605966330387517,"1pc,Abstract Colorful Geometry Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",3.79,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/733543c9-da7b-4886-b520-06270c7d0f8e_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605966330387517&search_method=user,911.csv,17
5,1.4038423646450588,606035049837020,"1pc, Cute Winter Owls Large Capacity Foldable Shopping Bag Reusable, Suitable for Storage, It Is The Perfect Choice for Essential Items in The School Season",5.58,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/dcb8aa96-d2ae-4a1e-b112-c45fe731fa73_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606035049837020&search_method=user,911.csv,3
6,1.3825293796181777,606849600437076,"1件2D平面图案贴花,圣诞窗贴纸，窗花，玻璃贴画 窗户门窗装饰贴纸圣诞麋鹿骑行摩托图案玻璃贴膜可拆卸，易于安装，适用于浴室、厨房、办公室、家居装饰防水贴纸、浴室窗户装饰、婚礼和派对、装饰门窗、圣诞节玻璃窗户装饰贴纸 双面打印-玻璃贴膜",1.44,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/4dfcd1775f28449383d7a106cbce8380-goods.jpeg,https://www.temu.com/search_result.html?search_key=606849600437076&search_method=user,911.csv,3
7,1.350424961094805,601103687364420,"1PC 梦幻海洋粉色美人鱼可爱美丽图案的床笠，独立的一件深口袋床笠、全包围床单、QUEEN,KING,SINGLE适合卧室、双人加大，床上用品，四季通用、装饰 可机洗聚酯纤维床笠 圣诞节、情人节、万圣节等节日礼物的理想选择",17.3,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/1fcfdf6cbbf44863973114c99ce1864b-goods.jpeg,https://www.temu.com/search_result.html?search_key=601103687364420&search_method=user,910.csv,1
8,1.304562666384774,606854432311877,3pcs圣诞透明球 空心塑料可填充装饰球 圣诞树悬挂装饰品 家居派个礼品盒装饰,3.5,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/8215d06811c546aab41886f9c55ef14b-goods.jpeg,https://www.temu.com/search_result.html?search_key=606854432311877&search_method=user,910.csv,3
9,1.3008319197905496,607079649655937,2D平面，1个装花卉祝福亚克力圆形磁性冰箱磁铁，愿上帝祝福这家，进入家中祝福，橙色百合绽放，厨房装饰，红蓝花卉，非常适合家居、橱柜、冰箱、洗碗机,1.25,家居厨房用品,厨房用品,https://img.kwcdn.com/product/217a7c4a1c/8166c19d-fec5-4cf7-ba5f-d12a59d5b456_800x800.jpeg,https://www.temu.com/search_result.html?search_key=607079649655937&search_method=user,911.csv,0
10,1.2998684939548597,606468640218597,蚊帐免安装便携，带防蚊网的床罩头罩，便携式设计，适用于旅行与家居（可手洗，安装简便）,4.65,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/74e4627e-cd16-483c-8357-382a8ed4abae.jpg,https://www.temu.com/search_result.html?search_key=606468640218597&search_method=user,909.xlsx,0
