排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,source,真实总销量
1,1.82470235921977,606716993354484,Latacaca 3件套 100% 涤纶 超柔软 魔术绒 Sherpa 被套 魔术绒表面 Sherpa 反面 加厚个面被 纯色绗缝涤纶 奢华冬季床上用品 包括 1件被子 和 2个枕套,59.91,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/01a15d95d8374c48986656bade2c2d51-goods.jpeg,https://www.temu.com/search_result.html?search_key=606716993354484&search_method=user,912.csv,0
2,1.7472855311503301,606598613330461,海棠花玻璃贴膜 3D立体浮雕质感 磨砂隐私保护 防紫外线遮阳隔热 免胶自粘 静电吸附 玻璃移门翻新贴 欧式复古花纹 房间装饰 客厅阳台卧室通用 柔化刺眼太阳光 玻璃装饰贴纸 防晒降温 保护家具防晒老化 易安装可重复使用,4.88,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/542b91db-9cb1-4de3-80af-d4122e02b8b8.jpg,https://www.temu.com/search_result.html?search_key=606598613330461&search_method=user,912.csv,0
3,1.5840314260262265,607454653948283,高级感大理石纹防水自粘乙烯基墙纸壁画，非常适合浴室、厨房和客厅墙壁翻新、橱柜和家具改造，防水耐用，无需胶水即可轻松安装，家居装饰,7.78,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/6d821b4b-026e-49ee-a4f3-6cb0a631742f.jpg,https://www.temu.com/search_result.html?search_key=607454653948283&search_method=user,912.csv,0
4,1.554948744996553,607355467092651,10只/30只/50只红蓝蜘蛛网纸质食品托盘，采用红蓝配色与蛛网图案设计；专为盛放零食或爆米花打造，是万圣节派对、亡灵节及生日聚会的理想之选,1.9,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/3389344f-0728-420d-8a3f-b8b8ae0e8f9a.jpg,https://www.temu.com/search_result.html?search_key=607355467092651&search_method=user,909.xlsx,10
5,1.5425347517580543,606818998821061,1 pc探头偷看小狐狸静电窗贴，免胶可移除不留残胶，秋日枫叶森林动物玻璃窗贴，客厅橱窗秋季氛围感装饰贴纸,1.2,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/4544afdf-e947-4f7d-9f57-17982e97f74c.jpg,https://www.temu.com/search_result.html?search_key=606818998821061&search_method=user,910.csv,3
6,1.5187596455060988,605709907375785,"4pcs,2d flat printing,纯色简约沙发抱枕套,现代时尚装饰枕套,涤纶材质,多尺寸,拉链封口,可机洗,适用于沙发,客厅、沙发、户外、装饰枕套,适用于日常/节日的家庭装饰,(不含枕芯,无刺绣)",9.77,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/algo_check/auto/87e639647b734071c67bab1557e3662d_1778232242432.jpg,https://www.temu.com/search_result.html?search_key=605709907375785&search_method=user,915.csv,4
7,1.5003690579631055,606918722589196,2件套蓝米色条纹抱枕套，方形靠垫套配隐形拉链，柔和海军蓝米白条纹，沙发床铺装饰软装,7.39,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/6661bfa0-cc90-4725-9286-47add01861b4.jpg,https://www.temu.com/search_result.html?search_key=606918722589196&search_method=user,912.csv,18
8,1.4773836732465635,606770680434777,森林动物生日快乐横幅、生日快乐吸管旗与森林动物彩旗，可爱狐狸、小熊、鹿等森林动物，大地色系派对装饰，派对装饰用品，森林主题生日庆祝,2.4,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/88b0ad02-2c59-40d4-b61e-cfd01f4a3df7.jpg,https://www.temu.com/search_result.html?search_key=606770680434777&search_method=user,916.csv,2
9,1.4705176452364717,607150986352863,一件涤纶泡芙双层纱黑白条纹2/3件套无被芯简约大气 亲肤柔软轻便适用于卧室酒店 枕套常规尺寸,9.76,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/4c4e5d60-78be-49d8-9061-9eb56c388ee2.jpg,https://www.temu.com/search_result.html?search_key=607150986352863&search_method=user,912.csv,3
10,1.4695095250878565,606468640218597,蚊帐免安装便携，带防蚊网的床罩头罩，便携式设计，适用于旅行与家居（可手洗，安装简便）,4.65,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/74e4627e-cd16-483c-8357-382a8ed4abae.jpg,https://www.temu.com/search_result.html?search_key=606468640218597&search_method=user,909.xlsx,0
