排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,来源文件,banned,banned_hits,img_missing,总销量
1,1.7161293134082163,607507804163092,3 pc秋日秋千松鼠静电窗贴，免胶可移除不留残胶，枫叶松果秋收主题玻璃窗贴，客厅橱窗秋季氛围感装饰贴纸,4.23,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/9144621d-cfb5-4e88-919b-5c5db2290a48.jpg,https://www.temu.com/search_result.html?search_key=607507804163092&search_method=user,913.csv,False,,False,7
2,1.4284404248266587,607127162704642,1/2件恐龙主题三明治切割器 DIY面包&吐司模具，适用于学校午餐盒装饰，食品安全塑料,2.19,家居厨房用品,厨房用品,https://img.kwcdn.com/product/fancy/1e683468-b4ef-4457-8f39-8d4064368ddb.jpg,https://www.temu.com/search_result.html?search_key=607127162704642&search_method=user,913.csv,False,,True,7
3,1.4100128766639581,601099585277438,"Large Puppy & Bone Print Disposable Tablecloth - Perfect for Dog-Themed Birthday Parties, Halloween, Christmas, Easter, Thanksgiving Decorations",2.64,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/3f6d739f-05e5-4e55-92fe-767e3026759d.jpg,https://www.temu.com/search_result.html?search_key=601099585277438&search_method=user,913.csv,False,,True,86
4,1.408614483149467,607119378084330,7个装 1.18英寸 镜面迪斯科球装饰品，轻巧悬挂球装饰，节日悬挂装饰品，适用于花艺布置和商店橱窗装饰,2.69,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/b445f59e050e45819b8ecb6616429892-goods.jpeg,https://www.temu.com/search_result.html?search_key=607119378084330&search_method=user,913.csv,False,,True,0
5,1.4058897733992144,605856607374767,二维平面三角龙墙壁装饰画3件套，适用于房间、客厅——复古竖版恐龙海报，极简帆布画/装饰，无框设计，适合卧室、玄关，春秋季装饰,5.86,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/666ff1402efc454c97df353e5044ba89-goods.jpeg,https://www.temu.com/search_result.html?search_key=605856607374767&search_method=user,913.csv,False,,False,2
6,1.392732190242439,607632895109605,1pc 垂坠枫叶秋收静电窗贴，免胶可移除不留残胶，红黄悬挂枫叶秋日玻璃窗贴，客厅橱窗秋季氛围感装饰贴纸,3.79,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/dff6f592dc9d4b2882ef2273f9a25ae3-goods.jpeg,https://www.temu.com/search_result.html?search_key=607632895109605&search_method=user,913.csv,False,,False,5
7,1.36850664326909,607128236437513,2D平面旧照片修复服务：适用于模糊、撕裂、褪色及划痕修复 - 专业照片修复服务，适用于圣诞礼物、结婚纪念日、怀旧礼物，以及珍贵老照片的翻新修复，您的照片专业修复、印刷和装裱在高级画布上,1.79,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/65e36e94174f41d697b3407728476a8a-goods.jpeg,https://www.temu.com/search_result.html?search_key=607128236437513&search_method=user,913.csv,False,,True,1
8,1.3626168344589795,607128236425895,"1/4/6pcs Luxury Red-Golden Reindeer Script Round Placemats Suitable for Backyard Picnic, Family Table Decor, Christmas Gifts, Tableware with Elegant Reindeer, Machine Washable for Holiday Dining Settings, 2D Flat",1.91,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/open/095c45463f934db095f7261c48b517c0-goods.jpeg,https://www.temu.com/search_result.html?search_key=607128236425895&search_method=user,913.csv,True,Led,True,1
9,1.3418714449050269,607111727648992,1pc All Seasons Gradient Maple Tree Wall Sticker Spring Summer Autumn Winter Colorful Maple Leaf Falling Pattern Kids Room Kindergarten Classroom Wall Self-Adhesive Decoration Mural,1.62,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/a50d10ff-4676-4b98-bc76-f2183c538115.jpg,https://www.temu.com/search_result.html?search_key=607111727648992&search_method=user,913.csv,False,,True,15
10,1.3100846268533937,607053879854319,1pc 窗贴 自粘玻璃贴纸，家居装饰墙贴， 橙色海马，卡通风格 静电吸附，无需粘胶，家居花园玻璃贴纸，派对装饰，房车窗贴，马桶贴纸，瓷砖贴纸，适用于室内外,1.35,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/54b938dc-2ff5-4cc3-becf-f6d56fb5ace8.jpg,https://www.temu.com/search_result.html?search_key=607053879854319&search_method=user,913.csv,False,,False,0
